zip,city,county,state
05828,Danville,Caledonia,Vermont
69361,Scottsbluff,Scotts Bluff,Nebraska
07732,Highlands,Monmouth,New Jersey
92277,Twentynine Palms,San Bernardino,California
45402,Dayton,Montgomery,Ohio
60450,Morris,Grundy,Illinois
49651,Lake City,Missaukee,Michigan
60621,Chicago,Cook,Illinois
60637,Chicago,Cook,Illinois
32303,Tallahassee,Leon,Florida
98520,Aberdeen,Grays Harbor,Washington
24212,Abingdon,Washington,Virginia
70420,Abita Springs,St. Tammany,Louisiana
45693,West Union,Adams,Ohio
17325,Gettysburg,Adams,Pennsylvania
17025,Enola,Cumberland,Pennsylvania
96750,Kealakekua,Hawaii,Hawaii
08753,Toms River,Ocean,New Jersey
38120,Memphis,Shelby,Tennessee
96822,Honolulu,Honolulu,Hawaii
34604,Brooksville,Hernando,Florida
32653,Gainesville,Alachua,Florida
78209,San Antonio,Bexar,Texas
81101,Alamosa,Alamosa,Colorado
97321,Albany,Benton,Oregon
47320,Albany,Delaware,Indiana
64402,Albany,Gentry,Missouri
13607,Alexandria Bay,Jefferson,New York
56308,Alexandria,Douglas,Minnesota
71301,Alexandria,Rapides,Louisiana
54201,Algoma,Kewaunee,Wisconsin
66749,Iola,Allen,Kansas
97007,Aloha,Washington,Oregon
96101,Alturas,Modoc,California
19002,Ambler,Montgomery,Pennsylvania
50010,"Ames, IA",Story,Iowa
30534,Dawsonville,Dawson,Georgia
37115,Madison,Davidson,Tennessee
59711,Anaconda,Deer Lodge,Montana
98221,Anacortes,Skagit,Washington
29621,Anderson,Anderson,South Carolina
40342,Lawrenceburg,Anderson,Kentucky
60640,Chicago,Cook,Illinois
01810,Andover,Essex,Massachusetts
55302,Annandale,Wright,Minnesota
54409,Antigo,Langlade,Wisconsin
60002,Antioch,Lake,Illinois
54911,Appleton,Outagamie,Wisconsin
02840,Newport,Newport,Rhode Island
05250,Arlington,Bennington,Vermont
02909,Providence,Providence,Rhode Island
63010,Arnold,Jefferson,Missouri
32720,DeLand,Volusia,Florida
30904,Augusta-Richmond County consolidated government (balance),Richmond,Georgia
01721,Ashland,Middlesex,Massachusetts
97103,Astoria,Clatsop,Oregon
72401,Jonesboro,Craighead,Arkansas
66002,Atchison,Atchison,Kansas
45701,Athens,Athens,Ohio
30601,Athens,Clarke,Georgia
30606,Athens,Clarke,Georgia
83801,Athol,Kootenai,Idaho
02703,Attleboro,Bristol,Massachusetts
90039,Los Angeles,Los Angeles,California
98002,Auburn,King,Washington
13026,Aurora,Cayuga,New York
65605,Aurora,Lawrence,Missouri
78759,AUSTIN,Travis,Texas
06001,AVON,Hartford,Connecticut
80908,Colorado Springs,El Paso,Colorado
46105,bainbridge,Putnam,Indiana
54002,Baldwin,St. Croix,Wisconsin
98107,Seattle,King,Washington
29003,Bamberg,Bamberg,South Carolina
04401,Bangor,Penobscot,Maine
95633,Garden Valley,El Dorado,California
08005,Barnegat,Ocean,New Jersey
30680,Winder,Barrow,Georgia
81621,Basalt,Eagle,Colorado
68714,Bassett,Rock,Nebraska
78602,Bastrop,Bastrop,Texas
60510,Batavia,Kane,Illinois
47006,Batesville,Ripley,Indiana
49017,Battle Creek,Calhoun,Michigan
77546,Friendswood,Galveston,Texas
68310,Beatrice,Gage,Nebraska
41311,Beattyville,Lee,Kentucky
77707,"Beaumont,",Jefferson,Texas
42320,Beaver Dam,Ohio,Kentucky
50310,Des Moines,Polk,Iowa
03110,Bedford,Hillsborough,New Hampshire
07921,Bedminster,Somerset,New Jersey
21014,Bel Air,Harford,Maryland
66935,Belleville,Republic,Kansas
48111,Belleville,Wayne,Michigan
98226,Bellingham,Whatcom,Washington
14813,Belmont,Allegany,New York
64012,Belton,Cass,Missouri
56601,Bemidji,Beltrami,Minnesota
94510,Benicia,Solano,California
68317,Bennet,Lancaster,Nebraska
72712,Bentonville,Benton,Arkansas
25411,Berkeley Springs,Morgan,West Virginia
43504,Berkey,Lucas,Ohio
03901,Berwick,York,Maine
35020,Bessemer,Jefferson,Alabama
35022,Bessemer,Jefferson,Alabama
62010,Bethalto,Madison,Illinois
19930,Bethany Beach,Sussex,Delaware
20814,Bethesda,Montgomery,Maryland
18015,Bethlehem,Lehigh,Pennsylvania
90210,Beverly Hills,Los Angeles,California
43209,Bexley,Franklin,Ohio
92315,City of Big Bear Lake,San Bernardino,California
55309,Big Lake,Sherburne,Minnesota
01821,Billerica,Middlesex,Massachusetts
19508,Birdsboro,Berks,Pennsylvania
58501,Bismarck,Burleigh,North Dakota
07825,Blairstown,Warren,New Jersey
15224,Pittsburgh,Allegheny,Pennsylvania
47404,Bloomington,Monroe,Indiana
47403,Bloomington,Monroe,Indiana
45242,Blue Ash,Butler,Ohio
40509,Lexington,Fayette,Kentucky
45817,Bluffton,Allen,Ohio
46714,Bluffton,Wells,Indiana
21230,Baltimore,Baltimore City,Maryland
83702,Boise City,Ada,Idaho
41005,Burlington,Boone,Kentucky
50036,Boone,Boone,Iowa
65233,Boonville,Cooper,Missouri
24083,Daleville,Botetourt,Virginia
58318,Bottineau,Bottineau,North Dakota
59632,Boulder,Jefferson,Montana
20715,Bowie,Prince George's,Maryland
41129,Catlettsburg,Boyd,Kentucky
41102,Ashland,Boyd,Kentucky
49712,Boyne City,Charlevoix,Michigan
77096,Houston,Harris,Texas
02184,Braintree,Norfolk,Massachusetts
05301,Brattleboro,Windham,Vermont
41339,Jackson,Breathitt,Kentucky
98337,Bremerton,Kitsap,Washington
08807,Bridgewater,Somerset,New Jersey
84302,Brigham City,Box Elder,Utah
01010,Brimfield,Hampden,Massachusetts
02907,Providence,Providence,Rhode Island
22815,Broadway,Rockingham,Virginia
02301,Brockton,Plymouth,Massachusetts
43203,Columbus,Franklin,Ohio
97415,Brookings,Curry,Oregon
02446,Brookline,Norfolk,Massachusetts
64113,Kansas City,Jackson,Missouri
34614,Brooksville,Hernando,Florida
47012,BROOKVILLE,Franklin,Indiana
13905,Binghamton,Broome,New York
02906,Providence,Providence,Rhode Island
46112,Brownsburg,Hendricks,Indiana
54819,Bruce,Rusk,Wisconsin
04011,Brunswick,Cumberland,Maine
19010,Bryn Mawr,Montgomery,Pennsylvania
23664,Hampton,Hampton,Virginia
04416,Bucksport,Hancock,Maine
91502,Burbank,Los Angeles,California
22015,Burke,Fairfax,Virginia
57523,Burke,Gregory,South Dakota
05401,Burlington,Chittenden,Vermont
02830,Harrisville,Providence,Rhode Island
36037,Greenville,Butler,Alabama
59701,Butte,Silver Bow,Montana
77396,Humble,Harris,Texas
46613,South Bend,St. Joseph,Indiana
42211,"Cadiz, KY",Trigg,Kentucky
34714,Clermont,Lake,Florida
95249,San Andreas,Calaveras,California
95247,Murphys,Calaveras,California
05819,St. Johnsbury,Caledonia,Vermont
53404,Caledonia,Racine,Wisconsin
94306,Palo Alto,Santa Clara,California
20619,California,St. Mary's,Maryland
93010,Camarillo,Ventura,California
93428,Cambria,San Luis Obispo,California
95124,San Jose,Santa Clara,California
70458,Olde Towne Slidell,St. Tammany,Louisiana
95672,Cameron Park,El Dorado,California
41001,Alexandria,Campbell,Kentucky
41075,Ft. Thomas,Campbell,Kentucky
41071,Newport,Campbell,Kentucky
95008,Campbell,Santa Clara,California
01604,Worcester,Worcester,Massachusetts
43055,Newark,Licking,Ohio
14103,Medina,Orleans,New York
91303,canoga park,Los Angeles,California
48188,Canton,Wayne,Michigan
44702,Canton,Stark,Ohio
33904,Cape Coral,Lee,Florida
63703,Cape Girardeau,Cape Girardeau,Missouri
19904,Dover,Kent,Delaware
20004,DC,District of Columbia,District of Columbia
93923,Carmel,Monterey,California
98014,Carnation,King,Washington
29669,Pelzer,Anderson,South Carolina
27510,Carrboro,Orange,North Carolina
64633,Carrollton,Carroll,Missouri
89703,Carson City,Carson City,Nevada
41143,GRAYSON,Carter,Kentucky
41164,Olive Hill,Carter,Kentucky
02330,Carver,Plymouth,Massachusetts
02874,Saunderstown,Washington,Rhode Island
28602,Hickory,Catawba,North Carolina
24070,Catawba,Roanoke,Virginia
30124,CAVE SPRING,Floyd,Georgia
97229,Portland,Washington,Oregon
28584,Cedar Point,Carteret,North Carolina
45822,Celina,Mercer,Ohio
75009,Celina,Collin,Texas
90011,Los Angeles,Los Angeles,California
02863,Central Falls,Providence,Rhode Island
98383,Silverdale,Kitsap,Washington
92262,Palm Springs,Riverside,California
93730,Fresno,Fresno,California
93720,Fresno,Fresno,California
83226,Challis,Custer,Idaho
05486,South Hero,Grand Isle,Vermont
05458,Grand Isle,Grand Isle,Vermont
25414,Charles Town,Jefferson,West Virginia
72933,Charleston,Franklin,Arkansas
02813,Charlestown,Washington,Rhode Island
28217,Charlotte,Mecklenburg,North Carolina
02633,Chatham,Barnstable,Massachusetts
05038,Chelsea,Orange,Vermont
23832,Chesterfield,Chesterfield,Virginia
19118,Philadelphia,Philadelphia,Pennsylvania
95927,Chico,Butte,California
95926,Chico,Butte,California
95969,Paradise,Butte,California
24319,Chilhowie,Smyth,Virginia
28023,China Grove,Rowan,North Carolina
54729,Chippewa Falls,Chippewa,Wisconsin
30134,Douglasville,Douglas,Georgia
23824,Blackstone,Nottoway,Virginia
34481,Ocala,Marion,Florida
29501,Florence,Florence,South Carolina
96813,Honolulu,Honolulu,Hawaii
92104,San Diego,San Diego,California
36830,Auburn,Lee,Alabama
80537,Loveland,Larimer,Colorado
01247,North Adams,Berkshire,Massachusetts
15210,Pittsburgh,Allegheny,Pennsylvania
55447,Plymouth,Hennepin,Minnesota
44131,Seven Hills,Cuyahoga,Ohio
48080,"St. Clair Shores, Mi",Macomb,Michigan
55110,White Bear Lake,Ramsey,Minnesota
06515,New Haven,New Haven,Connecticut
06513,New Haven,New Haven,Connecticut
06511,New Haven,New Haven,Connecticut
91711,Claremont,Los Angeles,California
03743,Claremont,Sullivan,New Hampshire
14031,Clarence,Erie,New York
99403,Clarkston,Asotin,Washington
67432,Clay Center,Clay,Kansas
76033,Cleburne,Johnson,Texas
27012,Clemmons,Forsyth,North Carolina
20008,Washington,District of Columbia,District of Columbia
12065,Clifton Park,Saratoga,New York
13323,Clinton,Oneida,New York
43214,Columbus,Franklin,Ohio
36311,Ariton,Barbour,Alabama
21244,Woodlawn,Baltimore,Maryland
18508,Scranton,Lackawanna,Pennsylvania
02852,North Kingstown,Washington,Rhode Island
94019,Half Moon Bay,San Mateo,California
94044,Pacifica,San Mateo,California
99324,College Place,Walla Walla,Washington
06019,Collinsville,Hartford,Connecticut
80919,Colorado Springs,El Paso,Colorado
80903,Colorado Springs,El Paso,Colorado
38401,Columbia,Maury,Tennessee
65203,Columbia,Boone,Missouri
95310,Columbia,Tuolumne,California
68601,Columbus,Platte,Nebraska
66725,Columbus,Cherokee,Kansas
95932,Colusa,Colusa,California
76240,Collinsville,Cooke,Texas
97214,Portland,Multnomah,Oregon
38619,Como,Panola,Mississippi
06103,Hartford,Hartford,Connecticut
29526,Conway,Horry,South Carolina
72032,Conway,Faulkner,Arkansas
97420,Coos Bay,Coos,Oregon
52241,Coralville,Johnson,Iowa
97113,Cornelius,Washington,Oregon
78401,Corpus Christi,Nueces,Texas
81321,Cortez,Montezuma,Colorado
97330,Corvallis,Benton,Oregon
94931,cotati,Sonoma,California
66044,Lawrence,Douglas,Kansas
30117,Carrollton,Carroll,Georgia
54812,Barron,Barron,Wisconsin
44302,Akron,Summit,Ohio
44264,Peninsula,Summit,Ohio
44308,Akron,Summit,Ohio
44333,Akron,Summit,Ohio
06238,Coventry,Tolland,Connecticut
41011,Covington,Kenton,Kentucky
69130,Cozad,Dawson,Nebraska
70105,Wellington,Park,Wyoming
47933,Crawfordsville,Montgomery,Indiana
90008,Los Angeles,Los Angeles,California
70118,New Orleans,Orleans,Louisiana
70116,New Orleans,Orleans,Louisiana
43420,Fremont,Sandusky,Ohio
72396,Wynne,Cross,Arkansas
20912,Takoma Park,Montgomery,Maryland
60014,Crystal Lake,McHenry,Illinois
90232,Culver City,Los Angeles,California
46511,Culver,Marshall,Indiana
42717,Burkesville,Cumberland,Kentucky
46229,Cumberland,Marion,Indiana
44222,Cuyahoga Falls,Summit,Ohio
71742,Fordyce,Dallas,Arkansas
06810,Danbury,Fairfield,Connecticut
53530,Darlington,Lafayette,Wisconsin
52804,Davenport,Scott,Iowa
68632,David City,Butler,Nebraska
56232,Dawson,Lac qui Parle,Minnesota
84009,South Jordan,Salt Lake,Utah
63020,DeSoto,Jefferson,Missouri
48124,Dearborn,Wayne,Michigan
30030,Decatur,DeKalb,Georgia
52101,Decorah,Winneshiek,Iowa
53532,DeForest,Dane,Wisconsin
60115,DeKalb,DeKalb,Illinois
93940,Monterey,Monterey,California
67213,Wichita,Sedgwick,Kansas
70528,Delcambre,Iberia,Louisiana
12054,Delmar,Albany,New York
33444,Delray Beach,Palm Beach,Florida
98106,Seattle,King,Washington
76201,Denton,Denton,Texas
98198,Des Moines,King,Washington
48130,Dexter,Washtenaw,Michigan
19148,Philadelphia,Philadelphia,Pennsylvania
47018,Dillsboro,Dearborn,Indiana
17019,Dillsburg,York,Pennsylvania
48821,Dimondale,Eaton,Michigan
31023,Eastman,Dodge,Georgia
53533,Dodgeville,Iowa,Wisconsin
81324,Dove Creek,Dolores,Colorado
83615,donnelly,Valley,Idaho
02122,Dorchester,Suffolk,Massachusetts
23231,Henrico,Henrico,Virginia
53118,Dousman,Waukesha,Wisconsin
03820,Dover,Rockingham,New Hampshire
10011,New York,New York,New York
11366,Queens,Queens,New York
10538,Larchmont,Westchester,New York
10543,Mamaroneck,Westchester,New York
11222,Brooklyn,Kings,New York
10026,Manhattan,New York,New York
10804,New Rochelle,Westchester,New York
10562,Ossining,Westchester,New York
11215,Park Slope,Kings,New York
11355,Queens,Queens,New York
10580,Rye,Westchester,New York
19335,Downingtown,Chester,Pennsylvania
32615,Alachua,Alachua,Florida
48101,Allen Park,Wayne,Michigan
53511,Beloit,Rock,Wisconsin
94704,Berkeley,Alameda,California
61701,Bloomington,McLean,Illinois
75103,Canton,Van Zandt,Texas
95928,Chico,Butte,California
75020,Denison,Grayson,Texas
60120,Elgin,Kane,Illinois
60201,Evanston,Cook,Illinois
47708,"Evansville,IN",Vanderburgh,Indiana
42071,Murray,Calloway,Kentucky
29720,Lancaster,Lancaster,South Carolina
42071-0002,Murray,Calloway,Kentucky
34950,Fort Pierce,St. Lucie,Florida
54935,Fond du Lac,Fond du Lac,Wisconsin
54301,"Green Bay, WI",Brown,Wisconsin
47025,Lawrenceburg,Dearborn,Indiana
45801,Lima,Allen,Ohio
39110,Madison,Madison,Mississippi
49855,Marquette,Marquette,Michigan
72112,Newport,Jackson,Arkansas
94947,Novato,Marin,California
94301,Palo Alto,Santa Clara,California
85004,Phoenix,Maricopa,Arizona
72756,ROGERS,Benton,Arkansas
98901,Yakima,Yakima,Washington
38225,Dresden,Weakley,Tennessee
21217,Baltimore,Baltimore City,Maryland
94568,Dublin,Alameda,California
52001,Dubuque,Dubuque,Iowa
55802,Duluth,St. Louis,Minnesota
81301,Durango,La Plata,Colorado
27701,Durham,Durham,North Carolina
98019,Duvall,King,Washington
89406,Fallon,Churchill,Nevada
68347,eagle,Cass,Nebraska
77346,Humble,Harris,Texas
30316,Atlanta,Fulton,Georgia
02128,East Boston,Suffolk,Massachusetts
77003,Houston,Harris,Texas
12061,East Greenbush,Rensselaer,New York
90028,Los Angeles,Los Angeles,California
000TN,Nashville,Davidson,Tennessee
07018,East Orange,Essex,New Jersey
94303,East Palo Alto,San Mateo,California
30344,East Point,Fulton,Georgia
14901,Elmira,Chemung,New York
98683,Vancouver,Clark,Washington
14221,Buffalo,Erie,New York
01027,Easthampton,Hampshire,Massachusetts
18042,Easton,Northampton,Pennsylvania
37915,Knoxville,Knox,Tennessee
02917,Smithfield,Providence,Rhode Island
90026,Los Angeles,Los Angeles,California
27932,Edenton,Chowan,North Carolina
98020,Edmonds,Snohomish,Washington
54209,Egg Harbor,Door,Wisconsin
92021,El cajon,San Diego,California
95762,El Dorado Hills,El Dorado,California
91731,El Monte,Los Angeles,California
50627,Eldora,Hardin,Iowa
78621,Elgin,Bastrop,Texas
46516,Elkhart,Elkhart,Indiana
06029,Ellington,Tolland,Connecticut
41171,Sandy Hook,Elliott,Kentucky
02465,West Newton,Middlesex,Massachusetts
18049,Emmaus,Lehigh,Pennsylvania
49630,Empire,Leelanau,Michigan
64801,Joplin,Newton,Missouri
91406,Van Nuys,Los Angeles,California
28715,Candler,Buncombe,North Carolina
75119,Ennis,Ellis,Texas
98022,Enumclaw,King,Washington
87532,Espanola,Rio Arriba,New Mexico
97023,Estacada,Clackamas,Oregon
96027,Etna,Siskiyou,California
72632,Eureka Springs,Carroll,Arkansas
49631,Evart,Osceola,Michigan
96706,Ewa Beach,Honolulu,Hawaii
05777,Fair Haven,Rutland,Vermont
94930,Fairfax,Marin,California
22030,Fairfax,Fairfax,Virginia
74343,Fairland,Ottawa,Oklahoma
99218,Spokane,Spokane,Washington
68522,Lincoln,Lancaster,Nebraska
57101,Sioux Falls,Minnehaha,South Dakota
46278,Indianapolis,Marion,Indiana
83605,Caldwell,Canyon,Idaho
12206,Albany,Albany,New York
88001,Las Cruces,Dona Ana,New Mexico
75234,Farmers Branch,Dallas,Texas
99669,Soldotna,Kenai Peninsula,Alaska
47932,Covington,Fountain,Indiana
60540,Naperville,DuPage,Illinois
40069,Springfield,Washington,Kentucky
46140,Greenfield,Hancock,Indiana
85252,Scottsdale,Maricopa,Arizona
29910,Bluffton,Beaufort,South Carolina
72736,Gravette,Benton,Arkansas
47250,Madison,Jefferson,Indiana
65804,Springfield,Greene,Missouri
84401,Ogden,Weber,Utah
77494,Katy,Harris,Texas
42743,Greensburg,Green,Kentucky
42728,Columbia,Adair,Kentucky
77459,Missorui City,Fort Bend,Texas
17013,Carlisle,Cumberland,Pennsylvania
43952,Steubenville,Jefferson,Ohio
96727,Kamuela,Hawaii,Hawaii
43160,Washington Court House,Fayette,Ohio
47331,Connersville,Fayette,Indiana
27312,Fearrington Village,Chatham,North Carolina
95018,Felton,Santa Cruz,California
63135,Ferguson,St. Louis,Missouri
72223,Little Rock,Pulaski,Arkansas
89408,Fernley,Lyon,Nevada
94111,San Francisco,San Francisco,California
12043,Cobleskill,Schoharie,New York
45231,Cincinnati,Hamilton,Ohio
44882,Sycamore,Wyandot,Ohio
70501,Lafayette,Lafayette,Louisiana
67230,Wichita,Sedgwick,Kansas
54212,Fish Creek,Door,Wisconsin
02882,Narragansett,Washington,Rhode Island
41041,Flemingsburg,Fleming,Kentucky
41653,Prestonsburg,Floyd,Kentucky
47119,floyds knobs,Floyd,Indiana
53206,Milwaukee,Milwaukee,Wisconsin
82601,Casper,Natrona,Wyoming
